Всего структур: 5666

Name                                                    Start        End     Fields
S16_01                                                   7523       7527          3
MapRelatedStruct                                         7530       7559         28
S16_02                                                   7572       7583         10
S17                                                      7586       7615         28
S19                                                      7618       7621          2
Display                                                  7624       7627          2
S20_01                                                   7630       7635          4
S20                                                      7638       7642          3
S21                                                      7645       7650          4
BuildingModel                                            7653       7657          3
S24_01                                                   7660       7666          5
S24                                                      7669       7674          4
Mike                                                     7677       7684          6
CarsPrefabs                                              7687       7694          6
VehiclePool                                              7697       7714         16
S45                                                      7717       7721          3
GameEntity                                               7724       7837        112
CCarsPrefabs                                             7840       7844          3
CarAudioSettings                                         7847       7859         11
CarPhysicsWorld                                          7862       7866          3
Trailer                                                  7869       7875          5
CarColorsPalette                                         7878       7882          3
S25                                                      7885       7895          9
S901                                                     7898       7902          3
S31                                                      7905       7909          3
Object                                                   7912       7920          7
Character                                                7923       7933          9
Radar                                                    7936       7941          4
Timing                                                   7944       7953          8
SpriteEntry                                              7956       7961          4
SP                                                       7964       7984         19
SpriteS4                                                 7987       7991          3
Input2                                                   8143       8146          2
S88                                                      8149       8155          5
S89                                                      8158       8169         10
TextureManager                                           8172       8185         12
FileMgr                                                  8194       8209         14
TangoMain                                                8212       8218          5
S128                                                     8221       8225          3
S127                                                     8228       8233          4
S125                                                     8236       8269         32
S124                                                     8272       8277          4
S123                                                     8280       8286          5
S121                                                     8289       8292          2
S122                                                     8295       8333         37
S119                                                     8336       8365         28
S116                                                     8368       8386         17
S115                                                     8389       8397          7
S112                                                     8400       8430         29
S113                                                     8433       8484         50
S110                                                     8837       8857         19
PoliceRoadblock                                          8860       8913         52
S109                                                     8916       8919          2
S108                                                     8922       8942         19
S107                                                     8945       8954          8
S106                                                     8957       8986         28
S105                                                     8989       8993          3
S101                                                     8996       9040         43
S102                                                     9043       9086         42
S100                                                     9089       9112         22
Particles                                                9115       9119          3
Particle1                                                9122       9152         29
Particle                                                 9155       9162          6
CarEngines                                               9165       9171          5
S95                                                      9197       9586        388
S93_1                                                    9589       9594          4
S92                                                      9606       9615          8
JuncIds                                                  9618       9644         25
TrafficLigthStruct                                       9660       9673         12
Taxi                                                     9676       9682          5
S85                                                      9685       9703         17
BaseCar                                                  9706       9726         19
Bus                                                      9729       9797         67
PublicTransport                                          9801       9810          8
Medical                                                  9813       9825         11
Ambulance                                                9828       9840         11
S374                                                     9843       9850          6
HudElement                                               9853       9876         22
Door                                                     9879       9884          4
S373                                                     9887       9905         17
MenuInfo                                                 9908       9925         16
TileAnim                                                 9928       9932          3
TileAnim2                                                9935       9948         12
TileAnim1                                                9951       9959          7
ScriptThread                                             9969       9980         10
CollisionBox                                             9983       9991          7
TriggerVolume                                            9994       9998          3
S67                                                     10001      10032         30
S66                                                     10035      10039          3
S58                                                     10042      10086         43
PathNode                                                10089      10099          9
Collide                                                 10102      10107          4
PickupInfo                                              10110      10128         17
PowerUp                                                 10131      10140          8
Checkpoint                                              10143      10146          2
PedManager                                              10149      10157          7
PedPool                                                 10160      10164          3
S151                                                    10301      10323         21
PlayerSlotSave                                          10338      10345          6
LIST_ENTRY64                                            12542      12546          3
LIST_ENTRY32                                            12549      12553          3
_PS_MITIGATION_OPTIONS_MAP                              12556      12559          2
_PS_MITIGATION_AUDIT_OPTIONS_MAP                        12562      12565          2
_XSTATE_FEATURE                                         12576      12580          3
_XSTATE_CONFIGURATION                                   12597      12609         11
_KUSER_SHARED_DATA                                      12674      12756         81
_TP_CALLBACK_ENVIRON_V3                                 12774      12786         11
_SINGLE_LIST_ENTRY                                      12789      12792          2
_RTL_SPLAY_LINKS                                        12795      12800          4
_RTL_DYNAMIC_HASH_TABLE_CONTEXT                         12803      12808          4
_RTL_DYNAMIC_HASH_TABLE_ENTRY                           12811      12815          3
_RTL_DYNAMIC_HASH_TABLE_ENUMERATOR                      12825      12830          4
_RTL_DYNAMIC_HASH_TABLE                                 12833      12844         10
_LUID                                                   12847      12851          3
_CUSTOM_SYSTEM_EVENT_TRIGGER_CONFIG                     12854      12858          3
_IMAGE_FILE_HEADER                                      12861      12870          8
_IMAGE_DATA_DIRECTORY                                   12873      12877          3
_IMAGE_OPTIONAL_HEADER                                  12880      12913         32
_IMAGE_NT_HEADERS                                       12916      12921          4
_IMAGE_DOS_HEADER                                       12924      12945         20
_RTL_BALANCED_NODE                                      12982      12986          3
_RTL_RB_TREE                                            13002      13006          3
_RTL_AVL_TREE                                           13009      13012          2
_DESCRIPTOR                                             13048      13053          4
_KPROCESSOR_STATE                                       13078      13082          3
_KSPIN_LOCK_QUEUE                                       13099      13103          3
_PP_LOOKASIDE_LIST                                      13123      13127          3
_GENERAL_LOOKASIDE_POOL                                 13187      13205         17
_KDPC_LIST                                              13245      13249          3
_KDPC_DATA                                              13252      13259          6
_DISPATCHER_HEADER                                      13375      13380          4
_KGATE                                                  13383      13386          2
_KTIMER_TABLE_ENTRY                                     13420      13425          4
_KTIMER_TABLE                                           13435      13440          4
_KDPC                                                   13458      13468          9
_PROC_IDLE_POLICY                                       13471      13479          7
_PPM_FFH_THROTTLE_STATE_INFO                            13519      13526          6
_PROC_IDLE_SNAP                                         13529      13533          3
_PROC_PERF_CHECK_CONTEXT                                13536      13549         12
_PROCESSOR_POWER_STATE                                  13559      13606         46
_KTIMER                                                 13609      13616          6
_CACHE_DESCRIPTOR                                       13619      13626          6
_KAFFINITY_EX                                           13629      13635          5
_SYNCH_COUNTERS                                         13638      13686         47
_FILESYSTEM_DISK_COUNTERS                               13689      13693          3
_KENTROPY_TIMING_STATE                                  13696      13702          5
_IOP_IRP_STACK_PROFILER                                 13705      13709          3
_KTIMER_EXPIRATION_TRACE                                13712      13716          3
_KSHARED_READY_QUEUE                                    13719      13734         14
_KREQUEST_PACKET                                        13737      13741          3
_REQUEST_MAILBOX                                        13744      13751          6
_KPRCB                                                  13754      14037        282
_KPCR                                                   14040      14069         28
_KIDTENTRY                                              14072      14078          5
_KGDTENTRY                                              14112      14117          4
_KiIoAccessMap                                          14120      14124          3
_KTSS                                                   14127      14164         36
_KWAIT_BLOCK                                            14287      14296          8
_GROUP_AFFINITY                                         14355      14360          4
_KEVENT                                                 14503      14506          2
_KTHREAD                                                14538      14628         89
_flags                                                  14647      14656          8
_KHETERO_PROCESSOR_SET                                  14659      14664          4
_KNODE                                                  14681      14711         29
_LOOKASIDE_LIST_EX                                      14735      14738          2
_PROCESSOR_IDLE_PREPARE_INFO                            14759      14769          9
_PPM_SELECTION_MENU                                     14772      14776          3
_PPM_COORDINATED_SELECTION                              14779      14785          5
_PPM_VETO_ACCOUNTING                                    14788      14796          7
_PPM_IDLE_STATE                                         14799      14816         16
_PPM_IDLE_STATES                                        14819      14862         42
_PROC_IDLE_STATE_ACCOUNTING                             14895      14906         10
_PROC_IDLE_ACCOUNTING                                   14909      14919          9
_PROC_FEEDBACK_COUNTER                                  14929      14940         10
_PROC_PERF_LOAD                                         15086      15090          3
_PPM_CONCURRENCY_ACCOUNTING                             15114      15122          7
_RTL_HASH_TABLE                                         15125      15131          5
_PEBS_DS_SAVE_AREA32                                    15134      15146         11
_PEBS_DS_SAVE_AREA64                                    15149      15161         11
_PEBS_DS_SAVE_AREA                                      15171      15174          2
_PROCESSOR_PROFILE_CONTROL_AREA                         15177      15180          2
_M128A                                                  15183      15187          3
_XSAVE_FORMAT                                           15190      15208         17
_XSAVE_AREA_HEADER                                      15211      15216          4
_XSAVE_AREA                                             15219      15223          3
_ISRDPCSTATS_SEQUENCE                                   15226      15233          6
_ISRDPCSTATS                                            15236      15247         10
_KINTERRUPT                                             15250      15286         35
_KSCHEDULING_GROUP_POLICY                               15320      15324          3
_KSCHEDULING_GROUP                                      15334      15350         15
_KTRAP_FRAME                                            15360      15402         41
_KPROCESS                                               15462      15507         44
_KQUEUE                                                 15510      15517          6
_COUNTER_READING                                        15520      15526          5
_KTHREAD_COUNTERS                                       15529      15538          8
_XSTATE_CONTEXT                                         15553      15562          8
_XSTATE_SAVE                                            15572      15575          2
_KLOCK_ENTRY_LOCK_STATE                                 15647      15651          3
_KLOCK_ENTRY                                            15710      15719          8
_PERFINFO_PPM_STATE_SELECTION                           15763      15768          4
_PPM_SELECTION_MENU_ENTRY                               15771      15779          7
_PPM_VETO_ENTRY                                         15782      15792          9
_INTERRUPT_REMAPPING_INFO                               15810      15816          5
_INTERRUPT_HT_INTR_INFO                                 15871      15875          3
_INTERRUPT_VECTOR_DATA                                  15899      15911         11
_INTERRUPT_CONNECTION_DATA                              15914      15918          3
_THREAD_PERFORMANCE_DATA                                15921      15933         11
_EXT_SET_PARAMETERS_V0                                  15994      15999          4
_PS_TRUSTLET_ATTRIBUTE_TYPE                             16035      16038          2
_PS_TRUSTLET_ATTRIBUTE_HEADER                           16041      16046          4
_PS_TRUSTLET_ATTRIBUTE_DATA                             16049      16053          3
_PS_TRUSTLET_CREATE_ATTRIBUTES                          16056      16060          3
_TRUSTLET_MAILBOX_KEY                                   16063      16066          2
_TRUSTLET_COLLABORATION_ID                              16069      16072          2
_KERNEL_STACK_SEGMENT                                   16075      16081          5
_KSTACK_CONTROL                                         16097      16104          6
_FAST_MUTEX                                             16107      16114          6
_IO_STATUS_BLOCK                                        16138      16142          3
_QUAD                                                   16152      16155          2
_WORK_QUEUE_ITEM                                        16158      16163          4
_EXT_DELETE_PARAMETERS                                  16166      16172          5
_EX_PUSH_LOCK                                           16193      16196          2
_EX_RUNDOWN_REF                                         16213      16216          2
_EX_FAST_REF                                            16233      16236          2
_TERMINATION_PORT                                       16239      16243          3
_KSEMAPHORE                                             16275      16279          3
_PS_PROPERTY_SET                                        16393      16397          3
_WAIT_CONTEXT_BLOCK                                     16505      16514          8
_DEVICE_OBJECT                                          16534      16561         26
_THREAD_ENERGY_VALUES                                   16578      16584          5
_OWNER_ENTRY                                            16617      16621          3
_ERESOURCE                                              16631      16646         14
_PROCESS_DISK_COUNTERS                                  16649      16656          6
_WNF_STATE_NAME                                         16659      16662          2
_PS_JOB_WAKE_INFORMATION                                16665      16670          4
_JOBOBJECT_WAKE_FILTER                                  16680      16684          3
_EPROCESS_VALUES                                        16694      16709         14
_RTL_BITMAP                                             16778      16782          3
_JOB_RATE_CONTROL_HEADER                                16785      16791          5
_PS_IO_CONTROL_ENTRY                                    16808      16815          6
_EJOB                                                   16818      16937        118
_DRIVER_OBJECT                                          16940      16957         16
_IRP                                                    17023      17046         22
_IO_TIMER                                               17049      17057          7
_VPB                                                    17060      17071         10
_DEVOBJ_EXTENSION                                       17074      17092         17
_OBP_SYSTEM_DOS_DEVICE_STATE                            17109      17113          3
_OBJECT_NAMESPACE_LOOKUPTABLE                           17116      17121          4
_OBP_SILODRIVERSTATE                                    17124      17130          5
_SEP_SILOSTATE                                          17133      17141          7
_WNF_LOCK                                               17160      17163          2
_WNF_SILODRIVERSTATE                                    17166      17175          8
_DBGK_SILOSTATE                                         17178      17184          5
_ESERVERSILO_GLOBALS                                    17187      17218         30
_PROCESS_ENERGY_VALUES                                  17251      17266         14
_PROCESS_ENERGY_VALUES_EXTENSION                        17312      17318          5
_PROCESS_EXTENDED_ENERGY_VALUES                         17321      17325          3
_DRIVER_EXTENSION                                       17342      17353         10
_FAST_IO_DISPATCH                                       17356      17386         29
_MDL                                                    17389      17399          9
_SYSTEM_POWER_STATE_CONTEXT                             17676      17679          2
_FILE_OBJECT                                            17788      17820         31
_DEVICE_MAP                                             17823      17832          8
_SE_AUDIT_PROCESS_CREATION_INFO                         17930      17933          2
_MMSUPPORT_FLAGS                                        17974      17979          4
_MMSUPPORT_INSTANCE                                     17982      18002         19
_MMSUPPORT_FULL                                         18021      18025          3
_ALPC_PROCESS_CONTEXT                                   18028      18033          4
_PS_PROTECTION                                          18051      18054          2
_PS_PROCESS_WAKE_INFORMATION                            18129      18135          5
_PS_DYNAMIC_ENFORCED_ADDRESS_RANGES                     18233      18237          3
_TIME_FIELDS                                            18403      18413          9
_RTL_TIME_ZONE_INFORMATION                              18416      18425          8
_TIMEZONE_CHANGE_EVENT                                  18436      18441          4
_SILO_USER_SHARED_DATA                                  18464      18480         15
_IO_CLIENT_EXTENSION                                    18483      18487          3
_FS_FILTER_CALLBACKS                                    18490      18508         17
_COMPRESSED_DATA_INFO                                   18543      18552          8
_IO_SECURITY_CONTEXT                                    18555      18561          5
_SID_IDENTIFIER_AUTHORITY                               18586      18589          2
_SID                                                    18592      18598          5
_FILE_GET_QUOTA_INFORMATION                             18601      18606          4
_INTERFACE                                              18609      18616          6
_DEVICE_CAPABILITIES                                    18619      18655         35
_IO_RESOURCE_DESCRIPTOR                                 18773      18782          8
_IO_RESOURCE_LIST                                       18785      18791          5
_IO_RESOURCE_REQUIREMENTS_LIST                          18794      18803          8
_POWER_SEQUENCE                                         18806      18811          4
_CM_PARTIAL_RESOURCE_DESCRIPTOR                         18953      18959          5
_CM_PARTIAL_RESOURCE_LIST                               18962      18968          5
_CM_FULL_RESOURCE_DESCRIPTOR                            18971      18976          4
_CM_RESOURCE_LIST                                       18979      18983          3
_SECTION_OBJECT_POINTERS                                18986      18991          4
_IO_COMPLETION_CONTEXT                                  18994      18999          4
_OBJECT_DIRECTORY                                       19002      19012          9
_HANDLE_TABLE                                           19056      19068         11
_OBJECT_NAME_INFORMATION                                19071      19074          2
_PO_DIAG_STACK_RECORD                                   19077      19081          3
_FS_FILTER_CALLBACK_DATA                                19136      19144          7
_SECURITY_SUBJECT_CONTEXT                               19156      19162          5
_LUID_AND_ATTRIBUTES                                    19165      19169          3
_INITIAL_PRIVILEGE_SET                                  19172      19177          4
_PRIVILEGE_SET                                          19180      19185          4
_ACCESS_STATE                                           19195      19213         17
_OBJECT_DIRECTORY_ENTRY                                 19216      19221          4
_EXHANDLE                                               19253      19256          2
_HANDLE_TRACE_DB_ENTRY                                  19295      19301          5
_HANDLE_TRACE_DEBUG_INFO                                19304      19312          7
_FS_FILTER_SECTION_SYNC_OUTPUT                          19315      19321          5
_HANDLE_TABLE_ENTRY_INFO                                19324      19328          3
_GENERIC_MAPPING                                        19331      19337          5
_ACCESS_REASONS                                         19340      19343          2
_OBJECT_DUMP_CONTROL                                    19363      19367          3
_OB_EXTENDED_PARSE_PARAMETERS                           19370      19375          4
_OBJECT_TYPE_INITIALIZER                                19407      19430         22
_OBJECT_TYPE                                            19433      19447         13
_OBJECT_HANDLE_INFORMATION                              19450      19454          3
_TXN_PARAMETER_BLOCK                                    19457      19462          4
_IO_DRIVER_CREATE_CONTEXT                               19465      19472          6
_IO_PRIORITY_INFO                                       19475      19481          5
_EVENT_DATA_DESCRIPTOR                                  19499      19504          4
_EVENT_DESCRIPTOR                                       19507      19516          8
_EVENT_HEADER                                           19533      19546         12
_ETW_BUFFER_CONTEXT                                     19563      19567          3
_EVENT_HEADER_EXTENDED_DATA_ITEM                        19570      19578          7
_PERFINFO_GROUPMASK                                     19593      19596          2
_MM_PAGE_ACCESS_INFO                                    19646      19649          2
_MCUPDATE_INFO                                          19695      19701          5
_WHEA_XPF_MCE_DESCRIPTOR                                19748      19757          8
_WHEA_NOTIFICATION_DESCRIPTOR                           19808      19814          5
_WHEA_XPF_CMC_DESCRIPTOR                                19817      19825          7
_WHEA_IPF_MCA_DESCRIPTOR                                19835      19840          4
_WHEA_IPF_CMC_DESCRIPTOR                                19843      19848          4
_WHEA_IPF_CPE_DESCRIPTOR                                19851      19856          4
_WHEA_PCI_SLOT_NUMBER                                   19874      19877          2
_WHEA_AER_ROOTPORT_DESCRIPTOR                           19898      19912         13
_WHEA_AER_ENDPOINT_DESCRIPTOR                           19932      19945         12
_WHEA_AER_BRIDGE_DESCRIPTOR                             19968      19984         15
_WHEA_GENERIC_ERROR_DESCRIPTOR_V2                       20003      20023         19
_WHEA_ERROR_SOURCE_CONFIGURATION_DD                     20026      20031          4
_WHEA_DEVICE_DRIVER_DESCRIPTOR                          20034      20052         17
_WHEA_ERROR_SOURCE_DESCRIPTOR                           20072      20085         12
_WHEA_EVENT_LOG_ENTRY_HEADER                            20108      20118          9
_WHEA_EVENT_LOG_ENTRY                                   20121      20124          2
_WHEA_ERROR_PACKET_V2                                   20148      20166         17
_WHEA_ERROR_RECORD_HEADER                               20257      20275         17
_WHEA_ERROR_RECORD_SECTION_DESCRIPTOR                   20313      20325         11
_WHEA_ERROR_RECORD                                      20328      20332          3
_HEAP_SUBALLOCATOR_CALLBACKS                            20335      20342          6
_SEGMENT_HEAP_EXTRA                                     20345      20352          6
_RTL_CSPARSE_BITMAP                                     20355      20369         13
_RTL_SPARSE_ARRAY                                       20372      20377          4
_HEAP_VAMGR_VASPACE                                     20387      20392          4
_HEAP_VAMGR_ALLOCATOR                                   20395      20411         15
_HEAP_VAMGR_RANGE                                       20454      20458          3
_RTLP_HP_ALLOC_TRACKER                                  20468      20472          3
_FAKE_HEAP_ENTRY                                        20475      20479          3
_HEAP_FAILURE_INFORMATION                               20482      20500         17
_RTL_HEAP_MEMORY_LIMIT_DATA                             20503      20509          5
_RTLP_HP_HEAP_GLOBALS                                   20512      20518          5
_HEAP_VAMGR_CTX                                         20521      20527          5
RTL_HP_ENV_HANDLE                                       20530      20533          2
_HEAP_OPPORTUNISTIC_LARGE_PAGE_STATS                    20550      20554          3
_HEAP_RUNTIME_MEMORY_STATS                              20565      20573          7
_HEAP_SEG_CONTEXT                                       20591      20613         21
_HEAP_VS_DELAY_FREE_CONTEXT                             20616      20619          2
_RTL_HP_VS_CONFIG                                       20630      20633          2
_HEAP_VS_CONTEXT                                        20636      20649         12
_RTL_HP_LFH_CONFIG                                      20652      20657          4
_HEAP_LFH_SUBSEGMENT_STAT                               20660      20664          3
_HEAP_LFH_SUBSEGMENT_OWNER                              20681      20692         10
_HEAP_LFH_FAST_REF                                      20709      20712          2
_HEAP_LFH_AFFINITY_SLOT                                 20715      20719          3
_HEAP_LFH_BUCKET                                        20722      20733         10
_HEAP_LFH_CONTEXT                                       20736      20748         11
_SEGMENT_HEAP                                           20767      20791         23
_RTLP_HP_METADATA_HEAP_CTX                              20794      20798          3
_RTL_HP_SUB_ALLOCATOR_CONFIGS                           20801      20805          3
_RTLP_HP_HEAP_MANAGER                                   20808      20815          6
_HEAP_LIST_LOOKUP                                       20818      20829         10
_HEAP_UNPACKED_ENTRY                                    20854      20860          5
_HEAP_EXTENDED_ENTRY                                    20877      20883          5
_HEAP_ENTRY                                             20944      20947          2
_HEAP_SEGMENT                                           20950      20966         15
_HEAP_COUNTERS                                          20995      21020         24
_HEAP_TUNING_PARAMETERS                                 21023      21027          3
_HEAP                                                   21030      21077         46
_HEAP_TAG_ENTRY                                         21080      21088          7
_HEAP_PSEUDO_TAG_ENTRY                                  21091      21096          4
_HEAP_LOCK                                              21105      21108          2
_HEAP_ENTRY_EXTRA                                       21126      21129          2
_HEAP_VIRTUAL_ALLOC_ENTRY                               21132      21139          6
_HEAP_FREE_ENTRY                                        21156      21160          3
